z_m,z_km,temperature_K,temperature_C,pressure_Pa,pressure_hPa,density_kg_m3
0.0,0.0,288.15,15.0,101325.0,1013.25,1.2250122659906946
100.0,0.1,287.5,14.350000000000023,100129.42585606562,1001.2942585606562,1.2132947704134638
200.0,0.2,286.84999999999997,13.699999999999989,98945.3004756533,989.453004756533,1.2016632133733713
300.0,0.3,286.2,13.050000000000011,97772.53979656594,977.7253979656593,1.1901171571748363
400.0,0.4,285.54999999999995,12.399999999999977,96611.06018522853,966.1106018522853,1.178656165366153
500.0,0.5,284.9,11.75,95460.77843546981,954.6077843546981,1.1672798027387787
600.0,0.6,284.25,11.100000000000023,94321.6117673029,943.216117673029,1.1559876353266074
700.0,0.7,283.59999999999997,10.449999999999989,93193.47782570719,931.9347782570719,1.1447792304052433
800.0,0.8,282.95,9.800000000000011,92076.29467941153,920.7629467941152,1.1336541564912797
900.0,0.9,282.29999999999995,9.149999999999977,90969.98081967696,909.6998081967696,1.122611983341567
1000.0,1.0,281.65,8.5,89874.45515908135,898.7445515908134,1.1116522819524908
1100.0,1.1,281.0,7.850000000000023,88789.63703030358,887.8963703030358,1.1007746245592336
1200.0,1.2,280.34999999999997,7.199999999999989,87715.44618490958,877.1544618490958,1.0899785846350531
1300.0,1.3,279.7,6.550000000000011,86651.80279213851,866.518027921385,1.0792637368905473
1400.0,1.4,279.04999999999995,5.899999999999977,85598.62743768915,855.9862743768915,1.068629657272916
1500.0,1.5,278.4,5.25,84555.84112250838,845.5584112250839,1.0580759229652357
1600.0,1.6,277.75,4.600000000000023,83523.36526157896,835.2336526157897,1.0476021123857178
1700.0,1.7,277.09999999999997,3.9499999999999886,82501.12168270868,825.0112168270867,1.0372078051869702
1800.0,1.8,276.45,3.3000000000000114,81489.03262532076,814.8903262532076,1.0268925822552677
1900.0,1.9,275.79999999999995,2.6499999999999773,80487.0207392435,804.870207392435,1.0166560257098005
2000.0,2.0,275.15,2.0,79495.00908350243,794.9500908350243,1.0064977189019437
2100.0,2.1,274.5,1.3500000000000227,78512.92112511175,785.1292112511176,0.9964172464145098
2200.0,2.2,273.84999999999997,0.6999999999999886,77540.68073786712,775.4068073786713,0.9864141940610046
2300.0,2.3,273.2,0.05000000000001137,76578.21220113957,765.7821220113957,0.9764881488848874
2400.0,2.4,272.54999999999995,-0.6000000000000227,75625.44019866908,756.2544019866908,0.9666386991588194
2500.0,2.5,271.9,-1.25,74682.28981736007,746.8228981736007,0.9568654343839215
2600.0,2.6,271.25,-1.8999999999999773,73748.68654607654,737.4868654607654,0.9471679452890195
2700.0,2.7,270.59999999999997,-2.5500000000000114,72824.55627443884,728.2455627443884,0.9375458238298996
2800.0,2.8,269.95,-3.1999999999999886,71909.82529162081,719.0982529162081,0.9279986631885556
2900.0,2.9,269.29999999999995,-3.8500000000000227,71004.42028514727,710.0442028514726,0.9185260577724332
3000.0,3.0,268.65,-4.5,70108.26833969312,701.0826833969312,0.9091276032136805
3100.0,3.1,268.0,-5.149999999999977,69221.29693588243,692.2129693588244,0.8998028963683901
3200.0,3.2,267.34999999999997,-5.800000000000011,68343.4339490883,683.434339490883,0.89055153531584
3300.0,3.3,266.7,-6.449999999999989,67474.60764823433,674.7460764823434,0.8813731193577419
3400.0,3.4,266.04999999999995,-7.100000000000023,66614.74669459555,666.1474669459556,0.8722672490174753
3500.0,3.5,265.4,-7.75,65763.78014060124,657.6378014060124,0.863233526039332
3600.0,3.6,264.75,-8.399999999999977,64921.63742863751,649.2163742863751,0.8542715533877471
3700.0,3.7,264.09999999999997,-9.050000000000011,64088.24838985153,640.8824838985153,0.8453809352465423
3800.0,3.8,263.45,-9.699999999999989,63263.543242956046,632.6354324295604,0.8365612770181586
3900.0,3.9,262.79999999999995,-10.350000000000023,62447.45259303433,624.4745259303432,0.8278121853228856
4000.0,4.0,262.15,-11.0,61639.90743034693,616.3990743034693,0.8191332679981026
